parity_id,domain,legacy_area,legacy_endpoint_or_screen,role,priority,legacy_behavior_summary,input_contract,output_contract,side_effects,auth_required,data_entities,status,owner,notes
PM-0057,app-student,events-and-calendar-screens,/app/events/*|app/calendar/*,student,P1,Web events list detail and calendar widgets for student planning,GET event filters and date context,HTML App/index pages,Read mostly with event registration via API,session_required role_id_2_expected,event,decommissioned_phase15,migration,Events and calendar pages remain outside explicit Phase12 scope Retired in Phase15 decommission plan.
PM-0058,app-student,plans-and-payment-screens,/app/plans/*|app/payment/index,student,P1,Web package plan chooser and payment initiation pages,GET package_id course_id and payment args,HTML App/index and redirect to payment flow URL,May trigger payment link generation and enrol updates downstream,session_required role_id_2_expected,package+payment+course,migrated_phase12,migration,React /student/payments parity delivered in Phase12
PM-0059,app-student,engagement-screens,/app/feed/index|app/notifications/index,student,P1,Feed and notification web shells for student engagement,GET auth session only,HTML App/index pages with async data load,Read and mark interactions via API,session_required role_id_2_expected,feed+notification,migrated_phase12,migration,React /student/notifications parity delivered in Phase12 and feed view stayed out of scope
PM-0060,app-student,profile-and-progress-screens,/app/profile/*|app/progress/index,student,P1,Profile edit and progress pages for student account tracking,GET and POST profile fields,HTML App/index pages with form submissions,Updates users profile and password where invoked,session_required role_id_2_expected,users+progress,migrated_phase12,migration,React /student/profile and progress metrics parity delivered in Phase12
PM-0061,app-student,support-screen,/app/support/*,student,P1,Student support chat screen loads messages and submits chat entries,GET and POST message text,HTML App/index and JSON fragments,Inserts support_chat messages,session_required role_id_2_expected,support_chat+users,migrated_phase12,migration,React /student/support parity delivered in Phase12
PM-0062,app-student,google-login-success,/app/home/login_success,student,P2,Legacy Google callback in App namespace can create role 2 users and open session,OAuth code query parameter,Redirect to desk_time path or login,Creates users row for gmail domain if absent,public_oauth_callback,users+role,decommissioned_phase15,migration,Controller App/Home stored under Admin folder path anomaly Retired in Phase15 decommission plan.
PM-0063,centre,centre-dashboard,/centre/dashboard/index,centre_user,P0,Centre dashboard aggregates student counts wallet cohorts and pending applications,Session user_id with centre_id lookup,HTML Centre/index dashboard page,Read aggregation only,session_expected_role_7_not_strictly_enforced,users+centres+cohorts+applications,migrated_phase13,migration,React /centre/dashboard parity delivered in Phase13 using Node /api/centre/dashboard/index
PM-0064,centre,applications-pipeline,/centre/applications/*,centre_user,P0,Centre manages lead applications conversion enrolment docs and pipeline assignment,GET and POST applicant fields qualification docs and course mapping,HTML Centre/index with ajax partial views,Creates and updates application user enrol and document records,session_expected_role_7_not_strictly_enforced,applications+users+qualification+student_document+enrol,migrated_phase13,migration,React /centre/applications parity delivered in Phase13 with conversion workflow e2e coverage
PM-0065,centre,students-management,/centre/students/*,centre_user,P0,Centre CRUD for students enrolments password and document operations scoped to centre,GET and POST student profile enrol and document payloads,HTML Centre/index with ajax modal responses,Creates and updates users enrol payment and document rows,session_expected_role_7_not_strictly_enforced,users+enrol+payment+student_document,migrated_phase13,migration,React /centre/students parity delivered in Phase13 with cohort assignment and student add e2e coverage
PM-0066,centre,course-plan-view,/centre/courses/index,centre_user,P1,Displays centre assigned courses and plans for operations,Session centre context,HTML Centre/index page,Read only,session_expected_role_7_not_strictly_enforced,centre_course_plans+course,migrated_phase13,migration,React /centre/courses parity delivered in Phase13 using Node /api/centre/courses/index
PM-0067,centre,cohort-management,/centre/cohorts/*,centre_user,P0,Centre cohort lifecycle includes create edit learners announcements assignments and live links,GET and POST cohort and assignment fields,HTML Centre/index with ajax partials,Creates cohort live_class assignment and announcement rows,session_expected_role_7_not_strictly_enforced,cohorts+cohort_students+assignment+live_class+cohort_announcements,migrated_phase13,migration,React /centre/cohorts parity delivered in Phase13 with create and assignment workflows e2e covered
PM-0068,centre,live-class-ops,/centre/live_class/*,centre_user,P0,Centre live class CRUD bulk upload and instructor mappings plus zoom history,GET and POST class schedule and provider fields,HTML Centre/index with ajax modal payloads,Creates and updates live_class and zoom_history rows,session_expected_role_7_not_strictly_enforced,live_class+zoom_history+cohort_students,migrated_phase13,migration,React /centre/live parity delivered in Phase13 with live class creation e2e coverage
PM-0069,centre,resources-and-files,/centre/resources/* and /centre/filemanager/*,centre_user,P1,Centre resource library manages folders files previews and optional file manager chat bridge,GET and POST folder file actions and uploads,HTML Centre/index with ajax previews,Creates and deletes folder and file metadata plus uploads,session_expected_role_7_not_strictly_enforced,folder+file+centres,migrated_phase13,migration,React /centre/resources parity delivered in Phase13 with folder and file upload workflows e2e covered
PM-0070,centre,wallet-and-fund-requests,/centre/wallet/*,centre_user,P0,Centre wallet shows transactions raises fund requests and extends plans with receipt uploads,GET and POST payment extension and fund request fields,HTML Centre/index and statement downloads,Creates fund request and payment extension records and uploads attachments,session_expected_role_7_not_strictly_enforced,wallet_transactions+centre_fundrequests+payment,migrated_phase13,migration,Phase13 added Node wallet routes and parity tables then delivered React /centre/wallet fund request flow
PM-0071,centre,support-and-training,/centre/support/*|centre/chat_support/*|centre/training_videos/index,centre_user,P1,Centre support chat plus training video listing for operators,GET and POST support message fields,HTML Centre/index pages,Inserts support_chat records,session_expected_role_7_not_strictly_enforced,support_chat+training_videos,migrated_phase13,migration,Phase13 added Node support and training routes and delivered React /centre/support messaging and training parity
PM-0072,admin,admin-dashboard,/admin/dashboard/index,admin_subadmin_instructor_counsellor_associate,P0,Admin dashboard serves KPI widgets and role specific counsellor associate target dashboards,Session user with role_id branch logic,HTML Admin/index dashboard page,Read aggregation of users content commerce and targets,session_required_role_gate_mostly_runtime,users+course+enrol+payment+targets,migrated_phase14,migration,Phase14 React /admin/dashboard parity delivered with KPI snapshots and recent operational activity widgets
PM-0073,admin,rbac-user-admin-account,/admin/admin/*|admin/account/*|admin/user_role/*|admin/sub_admin/*,admin_and_subadmin,P1,Backoffice account and role CRUD for staff users and sub admin password resets,GET and POST user role and credential fields,HTML Admin/index with ajax modals,Creates and updates users and user_role rows,session_required_role_gate_mostly_runtime,users+user_role,decommissioned_phase15,migration,Controllers Admin Admin Account User_role Sub_admin remain deferred after Phase14 and are retired in Phase15 decommission plan
PM-0074,admin,admin-profile,/admin/profile/*,admin_and_staff,P1,Allows logged in admin staff profile edits and password reset,GET and POST profile fields and password values,HTML Admin/index forms,Updates users profile and password hash,session_required_role_gate_mostly_runtime,users,decommissioned_phase15,migration,Controller Admin/Profile remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0075,admin,staff-channel-management,/admin/instructor/*|admin/counsellor/*|admin/associates/*,admin_ops,P0,Manages instructor counsellor associate lifecycle assignments enrol links and performance views,GET and POST staff records and mapping forms,HTML Admin/index with ajax flows,Creates and updates users mapping tables and status flags,session_required_role_gate_mostly_runtime,users+instructor_enrol+consultant_universities,decommissioned_phase15,migration,Instructor Counsellor Associates controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0076,admin,target-management,/admin/counsellor_target/*|admin/associates_target/*,admin_ops,P1,Maintains monthly or date ranged targets for counsellor and associate users,POST target value from_date to_date and user mapping,HTML Admin/index list and forms,Creates and updates target rows,session_required_role_gate_mostly_runtime,counsellor_target+associates_target,decommissioned_phase15,migration,Counsellor_target and Associates_target controllers remain deferred after Phase14 and are retired in Phase15 decommission plan
PM-0077,admin,centre-management,/admin/centres/*,admin_ops,P0,Centre CRUD with course assignment staff assignment wallet fund status and plan mapping,GET and POST centre profile and plan fields and docs,HTML Admin/index with ajax modals,Creates and updates centres fund requests wallet and course plan rows,session_required_role_gate_mostly_runtime,centres+centre_course_plans+wallet_transactions+centre_fundrequests,migrated_phase14,migration,Phase14 React /admin/users delivered centre onboarding and plan assignment workflows on top of admin centres APIs
PM-0078,admin,student-and-application-management,/admin/students/*|admin/applications/*,admin_ops,P0,Handles student lifecycle and application conversion with docs enrol and verification actions,GET and POST student and application forms plus documents,HTML Admin/index plus ajax detail views,Creates users applications enrol documents and payment linkage,session_required_role_gate_mostly_runtime,users+applications+enrol+student_document+payment,migrated_phase14,migration,Phase14 React /admin/users delivered student and application pipeline visibility plus conversion workflow parity
PM-0079,admin,enrol-and-fee-ledger,/admin/enrol/*|admin/student_fee/*|admin/course_fee/*|admin/fee_management/*,admin_finance,P0,Enrollment and fee management including installments payment status and user fee lookup,GET and POST enrolment and installment fields,HTML Admin/index pages and ajax forms,Writes enrol and installment and student_fee records,session_required_role_gate_mostly_runtime,enrol+student_fee+installment+course,decommissioned_phase15,migration,Enrol Student_fee Course_fee Fee_management controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0080,admin,catalog-category-course,/admin/category/*|admin/course/*|admin/course_new/*,admin_content,P0,Course catalog and metadata CRUD with faq batch mapping elective logic and status toggles,GET and POST category and course payloads,HTML Admin/index and ajax modals,Creates and updates category course faq batch mappings and enrol joins,session_required_role_gate_mostly_runtime,category+course+faq+batch,migrated_phase14,migration,Phase14 React /admin/content delivered course catalog list parity through shared course APIs and admin content navigation
PM-0081,admin,subject-topic-lesson,/admin/subject/*|admin/topic/*|admin/lesson/*,admin_content,P0,Manages subject topic lesson hierarchy including sort order and duplicate subject helpers,GET and POST hierarchy forms and sort payloads,HTML Admin/index and ajax lists,Creates and updates subject topic lesson and order columns,session_required_role_gate_mostly_runtime,subject+topic+lesson,migrated_phase14,migration,Phase14 React /admin/content delivered subject and lesson hierarchy parity using shared hierarchy endpoints
PM-0082,admin,lesson-files-content-assets,/admin/lesson_files/*|admin/lesson_files_1/*,admin_content,P0,CRUD for lesson files across video document article audio quiz and attachment upload with ordering,POST multipart attachments and metadata by lesson_id,HTML Admin/index with ajax modals and previews,Saves files and lesson_file rows plus report records,session_required_role_gate_mostly_runtime,lesson_files+lesson_files_report+vimeo_videolinks+file_store,decommissioned_phase15,migration,Lesson_files controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0083,admin,batch-management,/admin/batch/*,admin_ops,P1,Creates batches and maps or removes students from batch cohorts,GET and POST batch details and student ids,HTML Admin/index with ajax forms,Creates and deletes batch and batch_students rows,session_required_role_gate_mostly_runtime,batch+batch_students,decommissioned_phase15,migration,Controller Admin/Batch remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0084,admin,books-and-book-report,/admin/books/*|admin/book_report/*,admin_content,P1,Legacy book and chapter CRUD with enrol and assignment style mappings,GET and POST book chapter and enrol payloads,HTML Admin/index and ajax forms,Creates books chapters and instructor mappings,session_required_role_gate_mostly_runtime,books+books_chapters+instructor_enrol,decommissioned_phase15,migration,Controllers Books and Book_report remain deferred after Phase14 and are retired in Phase15 decommission plan
PM-0085,admin,assignment-management,/admin/assignment/*,admin_content,P0,Assignment CRUD with attachment upload submissions view remarks and file cleanup,GET and POST assignment details and files,HTML Admin/index plus ajax submission details,Creates assignments submissions remarks and uploads,session_required_role_gate_mostly_runtime,assignment+assignment_submissions+cohort_students,migrated_phase14,migration,Phase14 React /admin/assessments delivered assignment queue parity via /assignment/index with admin filter controls
PM-0086,admin,exam-management,/admin/exam/*,admin_content,P0,Exam CRUD and question linking at course subject lesson level with add remove actions,GET and POST exam fields and question ids,HTML Admin/index and ajax forms,Creates exam and exam_questions mappings,session_required_role_gate_mostly_runtime,exam+exam_questions+question_bank,migrated_phase14,migration,Phase14 React /admin/assessments delivered exam queue parity via /exams/index with course and subject filters
PM-0087,admin,question-bank-management,/admin/question_bank/*|admin/question/*,admin_content,P0,Question bank CRUD and bulk upload utilities with subject lesson filters,POST spreadsheet upload and question payload,HTML Admin/index and ajax forms,Creates and updates question_bank records,session_required_role_gate_mostly_runtime,question_bank+course+subject+lesson,decommissioned_phase15,migration,Question_bank and Question controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0088,admin,exam-results-and-evaluation,/admin/exam_result/*|admin/exam_evaluation/*|admin/re_exam/*,admin_ops,P1,Exam outcome reports and re-exam admin views over attempts and scores,GET filters course exam learner,HTML Admin/index reporting pages,Read heavy and occasional status updates for re-exam,session_required_role_gate_mostly_runtime,exam_answer+exam+users,decommissioned_phase15,migration,Exam_result Exam_evaluation Re_exam controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0089,admin,live-class-management,/admin/live_class/*,admin_content,P0,Primary live class scheduler with bulk upload provider config and zoom history view,GET and POST schedule provider and cohort fields,HTML Admin/index and ajax modals,Creates and updates live_class zoom_history and vimeo links,session_required_role_gate_mostly_runtime,live_class+zoom_history+cohorts+package,migrated_phase14,migration,Phase14 React /admin/assessments delivered live class listing and add workflows using admin live_class APIs
PM-0090,admin,live-report-and-calendar,/admin/live_report/index|admin/global_calender/index,admin_ops,P1,Operational visibility dashboards for live class utilization and exam or calendar timelines,GET filter params date ranges,HTML Admin/index reporting screens,Read only reporting queries,session_required_role_gate_mostly_runtime,live_class+exam,migrated_phase14,migration,Phase14 React /admin/reports delivered live report and global calendar views with report window filters
PM-0091,admin,events-circulars-recorded,/admin/events/*|admin/circulars/index|admin/recorded_events/*,admin_engagement,P1,Manages events circular announcements and recorded event library entries,GET and POST event metadata and media URLs,HTML Admin/index plus ajax forms,Creates and updates events and recorded events rows,session_required_role_gate_mostly_runtime,events+recorded_events,decommissioned_phase15,migration,Events Circulars Recorded_events controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0092,admin,engagement-content,/admin/banners/*|admin/feed/*|admin/feed_category/*|admin/notification/*|admin/stories/*|admin/review/*|admin/faq/*,admin_engagement,P1,Manages learner facing engagement and communication content objects,GET and POST content metadata media and status flags,HTML Admin/index with ajax modals,Creates and updates banner feed notification story review faq rows,session_required_role_gate_mostly_runtime,banner+feed+feed_category+notification+stories+review+faq,decommissioned_phase15,migration,Admin engagement controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0093,admin,resource-library,/admin/resources/*,admin_ops,P1,Admin resource repository with folder operations file upload rename preview and delete,POST folder file and rename payloads,HTML Admin/index with ajax previews,Creates folder and file metadata and uploads physical files,session_required_role_gate_mostly_runtime,folder+file+resources,migrated_phase14,migration,Phase14 React /admin/content delivered admin resource folder and file workflows over admin resources APIs
PM-0094,admin,commerce-packages-payments-coupons,/admin/packages/*|admin/payments/*|admin/coupon_code/*,admin_finance,P0,Backoffice package pricing payment entries extension flows and coupon validation lifecycle,POST package payment coupon fields and attachments,HTML Admin/index and printable receipts,Creates and updates package payment coupon and extension records,session_required_role_gate_mostly_runtime,package+payment+coupon_code,decommissioned_phase15,migration,Packages Payments Coupon_code controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0095,admin,wallet-ops,/admin/wallet/index|get_transactions,admin_finance,P1,Admin wallet transaction overview for centres,GET centre filters,HTML Admin/index with transaction table,Read only unless upstream adjustment paths,session_required_role_gate_mostly_runtime,wallet_transactions+centres,decommissioned_phase15,migration,Controller Admin/Wallet remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0096,admin,taxonomy-and-wellness,/admin/language/*|admin/habit_category/*|admin/wellness_category/*,admin_content,P1,Maintains reference taxonomies for languages habits and wellness categories,POST title icon and status payloads,HTML Admin/index and ajax forms,Creates and updates taxonomy rows,session_required_role_gate_mostly_runtime,languages+habit_category+wellness_category,decommissioned_phase15,migration,Language Habit_category Wellness_category controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0097,admin,platform-settings,/admin/settings/*|admin/app_version/*,admin_ops,P0,System settings website contact intro video and mobile app version flags,POST key value config payloads and media files,HTML Admin/index settings pages,Updates settings and frontend_settings and uploads media,session_required_role_gate_mostly_runtime,settings+frontend_settings,migrated_phase14,migration,Phase14 React /admin/settings delivered system website and app version update workflows
PM-0098,admin,reporting-suite,/admin/reports/*|admin/attendance/*|admin/user_queries/*,admin_ops,P1,Operational reports productivity attendance and user query style admin screens,GET date range and team filters,HTML Admin/index report pages,Read only analytics with possible export flows,session_required_role_gate_mostly_runtime,users+attendance+report_views,migrated_phase14,migration,Phase14 React /admin/reports delivered operational summary metrics and CSV export parity for summary and live report views
PM-0099,admin,media-training-content,/admin/training_videos/*|admin/demo_video/*|admin/short_videos/*,admin_content,P1,Manages supplemental training demo and short videos with upload and tags,POST media metadata and files,HTML Admin/index and ajax forms,Uploads media and updates respective tables,session_required_role_gate_mostly_runtime,training_videos+demo_video+short_videos,decommissioned_phase15,migration,Training_videos Demo_video Short_videos controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0100,admin,academic-pipeline,/admin/academic/*,admin_ops,P1,Legacy academic module ties lead sources qualifications and payment views for counselling workflows,GET and POST lead and qualification fields,HTML App/index style pages under admin path,Creates and updates lead and qualification related rows,session_required_role_gate_mostly_runtime,leads+qualification+finance+invoice,decommissioned_phase15,migration,Controller Admin/Academic remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0101,admin,support-chat,/admin/chat_support/*|admin/chat_support_cent/*,admin_ops,P1,Admin support consoles fetch and submit threaded support chat messages,GET and POST message payloads,HTML Admin/index chat pages and JSON fragments,Inserts support_chat rows,session_required_role_gate_mostly_runtime,support_chat+users,decommissioned_phase15,migration,Chat_support controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0102,admin,email-templates,/admin/email/common|application|welcome,admin_ops,P2,Legacy email template preview endpoints for welcome and application communication,GET template context,HTML Admin/index content render,No direct transactional write beyond preview flows,session_required_role_gate_mostly_runtime,email_template,decommissioned_phase15,migration,Controller Admin/Email remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0103,admin,scholarships-placeholder,/admin/scholarships/*,admin_ops,P2,Controller file exists but implementation appears empty and behavior undefined,unknown,unknown,unknown,unknown,scholarships,decommissioned_phase15,migration,Controller Admin/Scholarships remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0104,admin,legacy-duplicate-controllers,Admin/*_old.php and copy.php variants,admin_ops,P2,Deprecated duplicate controllers still present and may be auto routable under legacy autoRoute,Legacy path discovery by controller name,Behavior duplicates active module variants and may diverge,Potential unintended route exposure,session_required_if_called,users+course+cohort,decommissioned_phase15,migration,Legacy duplicate controllers remain deferred after Phase14 and are retired in Phase15 decommission plan
PM-0105,cross-cutting,http-contract-consistency,api and web mixed contracts,all,P1,Legacy contracts mix GET mutating endpoints inconsistent status types and mixed JSON envelopes,Varies by endpoint and method,JSON may use status true false 1 0 or strings and view responses for web,Can break strict client parsing during migration if normalized too early,follow_legacy_shape_first,all_entities,migrated_phase15,migration,OpenAPI draft marks these as compatibility quirks
PM-0106,cross-cutting,auth-and-rbac-enforcement,app admin centre auto routes,all,P0,Auth relies on session and helper checks with uneven role hardening across domains,Session cookies role_id auth_token,Redirects JSON 401 or direct view based on surface,Potential unauthorized access if route guessed and role checks absent in method,legacy_auth_must_be_preserved_then_hardened,users+session,migrated_phase11,migration,Centre controllers lack explicit check_login in base class
